,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,97.760,0.047,0.045,0.067,0.042,0.079
Green,0.108,99.319,0.084,0.157,0.046,0.035
Magenta,2.132,0.628,65.245,47.606,35.178,47.379
Orange,0.000,0.006,34.232,52.105,8.856,0.000
Chocolate,0.000,0.000,0.387,0.060,55.843,0.000
Purple,0.000,0.000,0.006,0.005,0.035,52.507
