,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,99.815,0.316,0.029,0.042,0.018,0.036
Green,0.144,98.140,0.132,0.222,0.060,0.076
Magenta,0.041,1.527,67.254,58.252,20.348,6.319
Orange,0.000,0.000,29.960,40.048,4.100,0.000
Chocolate,0.001,0.017,2.626,1.436,75.473,1.129
Purple,0.000,0.000,0.000,0.000,0.002,92.440
