,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,95.201,0.159,0.021,0.038,0.019,0.048
Green,0.196,96.689,0.065,0.140,0.037,0.048
Magenta,4.603,3.147,60.171,41.288,26.217,51.738
Orange,0.000,0.005,38.921,58.199,17.941,0.000
Chocolate,0.000,0.000,0.819,0.332,55.769,0.054
Purple,0.000,0.000,0.003,0.003,0.017,48.111
