,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,97.271,0.064,0.048,0.067,0.047,0.086
Green,0.134,99.063,0.092,0.158,0.051,0.038
Magenta,2.595,0.862,63.321,49.665,39.651,51.388
Orange,0.000,0.011,35.896,50.022,10.433,0.000
Chocolate,0.000,0.000,0.636,0.082,49.778,0.001
Purple,0.000,0.000,0.007,0.005,0.040,48.488
