,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,93.691,0.150,0.021,0.040,0.021,0.033
Green,0.291,96.602,0.092,0.208,0.066,0.072
Magenta,6.019,3.248,69.968,53.104,38.734,57.719
Orange,0.000,0.000,29.800,46.621,23.172,0.000
Chocolate,0.000,0.000,0.116,0.023,37.985,0.000
Purple,0.000,0.000,0.003,0.003,0.022,42.175
