,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0964,17.8908,0.3389,0.7696,0.4254
r_e error,19.7196,34.5866,3.2460,2.9038,3.6488
n error,0.3418,5.5239,0.3647,0.4280,0.1393
x_0 error,0.1010,0.3303,0.2864,0.0402,6.3428
