,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,4.5864,6.4988,5.0617,17.7883,5.3978
r_e error,0.4786,2146.0375,12.5619,53.7669,1.0430
n error,0.3057,22.0899,0.2082,4.8008,0.1723
x_0 error,0.4553,1630.0404,4.4824,0.2977,1.9819
