,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.1969,0.0925,0.8151,0.2098,0.3876
r_e,29.3641,0.5394,10.1338,10.4454,12.5416
n,1.3487,2.8135,0.2395,2.4470,0.8735
x_0,19.0192,33.1980,48.6667,67.4831,80.4306
