,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0646,3.2422,0.1158,0.8279,0.0841
r_e error,0.2259,352.0081,7.4394,25.8205,2.8671
n error,0.0944,0.4232,0.2429,4.7016,0.1533
x_0 error,0.2524,312.2079,1.1904,0.0090,0.4410
