,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0508,0.1900,0.0991,0.3061,0.1086
r_e error,23.6247,8.9420,3.2864,98.8266,7.3383
n error,0.2909,2.8287,0.1732,2.1259,0.1830
x_0 error,0.1980,0.3237,0.6330,0.0987,1.0579
