,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0817,32.7888,0.1668,2.2545,0.2758
r_e error,7.5739,28.3380,6.5175,59.3391,3.5072
n error,0.2549,180.5291,0.2891,8.1941,0.1508
x_0 error,0.1995,0.3238,0.8261,0.0182,2.6745
