,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.1216,0.5053,0.1644,1.8218,0.5816
r_e error,41.4716,92.7771,3.9788,24.0944,4.3131
n error,0.8296,21.8174,0.2154,2.3135,0.1509
x_0 error,0.0196,0.2916,0.4714,0.0802,8.8009
