,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.2595,0.0013,0.1655,0.0749,0.3579
r_e,18.9198,0.9214,21.0167,35.7157,11.3944
n,1.5086,6.1139,1.2942,3.6331,0.7763
x_0,18.6381,33.6437,46.7839,67.7181,79.9582
