,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.1179,0.4904,0.6214,0.3357,0.6786
r_e,47.9646,2.4904,8.2820,12.1983,13.5896
n,2.0928,0.1145,0.5942,2.7866,0.4803
x_0,19.1118,33.3205,46.7785,67.3957,77.2001
