,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,1.0945,0.3296,3.4650,0.8573,13.0800
r_e,40.2911,1.2780,74.8133,84.5748,4.4414
n,1.9833,4.9724,1.3839,2.5237,0.3661
x_0,18.0406,34.5868,45.8399,66.7923,81.0188
