,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.1119,0.4700,0.5152,0.0969,0.2900
r_e,50.0000,1.7652,8.6228,33.2776,14.3861
n,1.7506,0.1427,0.5223,2.8200,0.8112
x_0,19.1272,33.1098,46.5626,67.2022,79.3544
