,SNR,SNR,SNR,SNR,SNR,Signal,Signal,Signal,Signal,Signal,Noise,Noise,Noise,Noise,Noise
,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,3.377,4.949,10.254,15.231,8.478,0.024,0.031,0.091,0.169,0.052,0.007,0.006,0.009,0.011,0.006
Continuum_2,5.235,6.247,11.665,15.926,10.333,0.023,0.024,0.071,0.157,0.051,0.004,0.004,0.006,0.010,0.005
Continuum_3,2.252,4.751,10.949,17.437,11.240,0.019,0.019,0.054,0.139,0.047,0.009,0.004,0.005,0.008,0.004
