,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,0.127,1.107,0.319,0.199,0.166,0.741
Continuum_2,0.114,1.219,0.790,0.693,2.223,0.092
Continuum_3,0.122,0.956,0.257,2.410,0.148,0.734
