,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,9.582,21.781,24.012,21.225,13.314,0.563
Continuum_2,9.018,19.179,10.166,5.704,1.202,4.208
Continuum_3,6.547,20.682,30.961,1.610,16.636,0.565
