,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,1.219,24.106,7.659,4.219,2.209,0.417
Continuum_2,1.027,23.370,8.029,3.955,2.672,0.388
Continuum_3,0.802,19.781,7.972,3.880,2.457,0.415
