,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.856,0.596,0.760,1.338,1.118
Continuum_2,0.728,0.573,0.744,1.117,0.950
Continuum_3,0.639,0.549,0.727,0.976,0.831
