,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,65.553,0.005,0.000,0.000,0.014
Green,0.000,34.623,0.000,0.000,21.818
Magenta,0.000,0.032,50.900,14.752,0.000
Orange,0.000,0.000,4.610,43.488,0.000
Chocolate,34.447,65.340,44.489,41.760,78.168
