,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,75.441,0.833,0.331,0.196,1.238
Green,0.183,37.111,9.698,3.205,36.597
Purple,0.000,9.146,46.425,13.936,2.985
Orange,0.000,0.004,1.546,44.364,0.000
Chocolate,24.377,52.907,42.000,38.300,59.180
