,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,62.378,0.740,0.270,0.185,1.104
Green,0.109,23.499,4.703,1.589,23.761
Purple,0.001,15.162,50.298,23.018,7.859
Orange,0.000,0.000,0.002,28.039,0.000
Chocolate,37.511,60.599,44.727,47.169,67.277
