,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,66.680,0.728,0.258,0.188,1.084
Green,0.093,24.790,4.376,1.575,24.650
Purple,0.001,14.221,52.352,22.553,7.205
Orange,0.000,0.000,0.000,27.255,0.000
Chocolate,33.226,60.261,43.015,48.429,67.061
