,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,0.001,0.000,0.000,0.000,0.000
Green,0.000,0.001,0.000,0.000,0.000
Magenta,0.018,16.136,58.284,7.245,7.530
Orange,0.000,0.335,16.336,73.622,0.048
Chocolate,99.981,83.528,25.380,19.132,92.422
