,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,60.787,0.372,0.131,0.050,0.596
Green,0.000,13.540,0.000,0.000,12.629
Purple,0.000,19.291,50.406,22.845,8.518
Orange,0.000,0.000,0.167,47.175,0.000
Chocolate,39.213,66.797,49.296,29.929,78.256
