,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,0.001,0.000,0.000,0.000,0.000
Green,0.000,0.001,0.000,0.000,0.000
Purple,0.018,17.540,52.742,8.810,8.281
Orange,0.000,0.488,20.339,70.704,0.080
Chocolate,99.981,81.971,26.919,20.487,91.639
