,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,57.453,0.004,0.000,0.000,0.009
Green,0.000,30.691,0.099,0.000,28.484
Purple,0.000,3.449,51.152,26.402,0.071
Orange,0.000,0.000,3.369,33.276,0.000
Chocolate,42.547,65.856,45.379,40.321,71.436
