,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,71.137,0.847,0.340,0.211,1.259
Green,0.222,35.558,10.118,3.543,35.710
Purple,0.000,10.276,44.256,15.935,3.686
Orange,0.000,0.006,2.432,39.140,0.001
Chocolate,28.641,53.312,42.854,41.171,59.345
