,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,0.001,0.000,0.000,0.000,0.000
Green,0.000,0.002,0.000,0.000,0.000
Purple,0.017,15.613,60.503,6.710,7.106
Orange,0.000,0.281,14.815,74.728,0.033
Chocolate,99.982,84.105,24.682,18.561,92.862
