Name,Flux,Error_flux
Hgamma,0.10773741315537341,0.05752586012946512
Hbeta,0.21476281608886072,0.05327814673164081
Halpha,0.6228374014498359,0.04282477955170229
[SII]6716,0.3781593112837066,0.025940574277936366
[SII]6731,0.250182786571022,0.03205807129285932
HeII4687,0.07496698818493328,0.029447546832334283
HeI5876,0.06731459889183425,0.019083714935419292
[OIII]4959,0.05973678816128248,0.08590988677154833
[OIII]5007,0.17921036448384745,0.08590988677154833
[OI]6300,0.03955865389899068,0.040463759397650234
[OI]6364,0.013186217966330226,0.040463759397650234
[NII]6548,0.11667231611392054,0.03466632924861821
[NII]6583,0.3500169483417616,0.03466632924861821
