Name,Flux,Error flux
Hgamma,0.19184181877760972,0.03698377183158217
Hbeta,0.4150308207762836,0.05280642763047346
Halpha,1.0634202621219069,0.035112749084462984
[SII]6716,0.5467579692040498,0.020494961576189137
[SII]6731,0.24457344531831127,0.03758706108059747
HeII4687,0.00183564086912753,0.02259946358040028
HeI5876,0.0581429023621871,0.015382306992264736
[OIII]5007_d,0.30350715385896293,0.025807762442683492
[OI]6300_d,0.024303293499969847,0.019481064513117048
[NII]6583_d,0.5412924819214779,0.048385662575676426
