,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.059,0.058,0.082,0.054
Continuum_2,0.045,0.038,0.050,0.036
Continuum_3,0.033,0.032,0.036,0.022
