,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,8.754,6.847,11.658,4.398
Continuum_2,11.354,11.279,20.601,9.202
Continuum_3,12.037,10.783,26.685,12.566
