,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.145,0.257,0.260,0.133
Continuum_2,0.163,0.252,0.294,0.183
Continuum_3,0.121,0.205,0.253,0.159
