,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.037,0.039,0.040,0.039
Continuum_2,0.024,0.024,0.026,0.023
Continuum_3,0.017,0.019,0.019,0.016
