,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.288,0.143,0.621,0.123
Continuum_2,0.267,0.176,0.654,0.166
Continuum_3,0.212,0.144,0.623,0.142
