,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,7.052,3.627,11.579,3.504
Continuum_2,9.981,7.806,20.765,7.227
Continuum_3,10.031,7.386,25.453,9.128
