,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.015,0.025,0.013,0.013,0.011
Continuum_2,0.035,0.040,0.024,0.033,0.030
Continuum_3,0.014,0.025,0.010,0.017,0.010
