,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.079,0.407,0.144,0.069
Continuum_2,0.115,0.390,0.126,0.062
Continuum_3,0.127,0.336,0.106,0.054
