Line,Flux,Error flux
Hgamma,0.07563192800008678,0.014784730243037657
Hbeta,0.2437203844189885,0.01467835741862476
Halpha,1.3660061376127473,0.022099724053579524
[SII]6716,0.28559950673870865,0.020202538503397306
[SII]6731,0.17903886675403044,0.009346060813163564
HeII4687,0.0,0.007376968783488377
HeI5876,0.025072968398631407,0.01084358806458282
[OIII]5007_d,0.21265496265695658,0.015601139940807751
[OI]6300_d,0.058893828473505744,0.009626069941198846
[NII]6583_d,0.6009803370870421,0.011420995614373425
