,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,9.125,20.356,15.219,9.292
Continuum_2,12.382,21.831,10.759,12.081
Continuum_3,13.428,25.355,16.047,13.566
