Line,Flux,Error flux
Hgamma,1.818795048108683,0.21128331264599537
Hbeta,5.847844712257718,0.4277466416074847
Halpha,27.84530914706945,0.46855710185300437
[SII]6716,4.898002670405568,0.08321981517266357
[SII]6731,3.4752612645882683,0.05130607076613635
HeII4687,0.05267559515868572,0.009458025055296354
HeI5876,0.6747784922694111,0.12236873883815791
[OIII]5007_d,2.3712446644652116,0.16738609910823174
[OI]6300_d,0.8460392890418602,0.04756120375324087
[NII]6583_d,11.757339047039913,0.1636138613900264
