,SNR,SNR,SNR,SNR,SNR,Signal,Signal,Signal,Signal,Signal,Noise,Noise,Noise,Noise,Noise
,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,4.179,15.965,15.014,4.836,3.468,0.268,1.023,0.839,0.568,0.259,0.064,0.064,0.056,0.117,0.075
Continuum_2,8.052,21.084,17.416,12.806,9.142,0.257,1.037,0.683,0.433,0.202,0.032,0.049,0.039,0.034,0.022
Continuum_3,10.275,34.706,22.365,12.831,7.127,0.228,0.983,0.546,0.343,0.157,0.022,0.028,0.024,0.027,0.022
