,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.268,1.023,0.839,0.568,0.259
Continuum_2,0.257,1.037,0.683,0.433,0.202
Continuum_3,0.228,0.983,0.546,0.343,0.157
