,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,0.683,0.000,0.000,0.000,0.000
Green,98.623,96.814,83.857,57.704,0.002
Magenta,0.000,0.000,0.000,0.000,0.000
Orange,0.684,2.834,13.887,37.535,2.979
Chocolate,0.010,0.351,2.256,4.761,97.019
