,SNR,Signal,Noise
Spettro_1,7.904,0.157,0.020
Spettro_2,5.552,0.134,0.024
Spettro_3,6.451,0.161,0.025
Spettro_4,0.648,0.100,0.155
Spettro_5,11.413,0.322,0.028
Spettro_6,12.763,0.364,0.028
Spettro_7,9.707,0.191,0.020
Spettro_8,12.186,0.256,0.021
Spettro_9,5.192,0.189,0.036
Spettro_10,9.983,0.293,0.029
Spettro_11,9.218,0.338,0.037
Spettro_12,25.576,0.881,0.034
Spettro_13,25.101,0.667,0.027
Spettro_14,2.835,0.090,0.032
Spettro_15,2.037,0.068,0.034
Spettro_16,0.563,0.013,0.024
Spettro_17,-0.661,-0.023,0.035
Spettro_18,0.748,0.025,0.033
Spettro_19,1.460,0.029,0.020
Spettro_20,1.627,0.040,0.025
