,SNR,Signal,Noise
Spettro_1,25.920,0.505,0.019
Spettro_2,21.267,0.472,0.022
Spettro_3,38.514,0.615,0.016
Spettro_4,55.358,0.802,0.014
Spettro_5,77.485,1.236,0.016
Spettro_6,59.553,1.223,0.021
Spettro_7,35.010,1.004,0.029
Spettro_8,42.252,0.903,0.021
Spettro_9,31.116,0.796,0.026
Spettro_10,25.879,1.218,0.047
Spettro_11,36.741,1.357,0.037
Spettro_12,52.580,2.004,0.038
Spettro_13,77.400,1.651,0.021
Spettro_14,16.975,0.506,0.030
Spettro_15,8.798,0.258,0.029
Spettro_16,8.877,0.226,0.025
Spettro_17,6.134,0.149,0.024
Spettro_18,6.812,0.111,0.016
Spettro_19,3.596,0.082,0.023
Spettro_20,10.136,0.244,0.024
