,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.1450,5.4594,0.6320,0.1179,0.9375
r_e error,65.2100,11.6842,4.5569,15.4874,0.8751
n error,0.7512,1.9923,0.4450,0.3373,0.4987
x_0 error,1.5329,0.6552,7.9785,0.3688,0.0420
