,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.1202,0.1041,2683911.7795,0.1536,0.3203
r_e error,95.8115,14.6474,4335.3681,111.9973,58.1046
n error,1.4047,0.5358,574021.9401,1.6123,6.6844
x_0 error,144.5579,0.4085,253.0818,0.2005,0.0402
