,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.106,0.557,0.221,0.104
Continuum_2,0.151,0.549,0.195,0.095
Continuum_3,0.170,0.493,0.168,0.083
