,SNR,SNR,SNR,SNR,Signal,Signal,Signal,Signal,Noise,Noise,Noise,Noise
,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,9.889,21.462,17.224,11.324,0.106,0.557,0.221,0.104,0.011,0.026,0.013,0.009
Continuum_2,13.389,21.956,14.428,12.659,0.151,0.549,0.195,0.095,0.011,0.025,0.014,0.007
Continuum_3,15.136,27.022,18.273,14.901,0.170,0.493,0.168,0.083,0.011,0.018,0.009,0.006
