,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8
I_e,0.0466,0.3748,0.0457,0.1227,0.0909,0.1654,0.0835,0.0521
r_e,4.7897,1.0767,67.0526,3.9442,0.2190,15.9714,11.2726,0.3911
n,3.7876,2.6322,0.1702,0.5547,2.4065,1.4983,0.0464,3.6536
x_0,32.6737,45.9455,85.5675,80.0604,99.8660,62.4112,34.8494,50.7959
