,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.0818,0.4614,0.2825,0.2503,0.0327,0.1502
r_e,9.5241,2.5363,11.3968,4.0415,70.5396,7.3198
n,2.5141,1.3275,0.0797,0.1616,0.7879,1.5905
x_0,32.7034,45.8994,60.2108,79.2854,79.6723,62.3224
