,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.1316,0.1615,0.0966,0.1622,0.0000,0.0922,0.0498
r_e,4.2577,4.9866,37.0308,2.7337,32.2245,5.5440,6.8165
n,2.6075,2.0767,1.0895,0.1631,0.5159,2.0522,1.5757
x_0,32.6124,46.1538,61.7742,80.2413,99.7146,61.4177,66.0906
