,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.3592,0.7521,0.1095,0.1523,0.0007,1.9672,0.8214
r_e error,7.1210,14.3528,15.9595,6.6805,42973276.9845,110.9313,91.2948
n error,2.5998,6.7955,3.1367,2.5527,1023731.1891,16.3843,11.6422
x_0 error,0.1208,0.1342,4.1556,1.0896,133701530.6808,1.3604,4.2734
