,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,2.3513,3.5259,3.4005,0.5593,6.7236
r_e,13.6211,1.7140,6.6210,29.7407,2.5643
n,1.0092,0.2462,0.2864,2.5732,0.6901
x_0,30.8353,40.8516,43.9305,58.4353,61.4381
