,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0074,0.0543,0.0559,0.0167,0.0408
r_e error,1.0038,0.5533,1.3983,1.2298,0.3689
n error,0.0751,0.1583,0.3385,0.1012,0.1577
x_0 error,0.0503,0.6938,2.8408,0.1060,0.2999
