,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.1903,32.9866,0.5946,0.3473,4.2259
r_e error,0.2043,0.7205,1.2353,0.1271,0.4326
n error,0.0813,6.2117,0.3547,0.0496,0.9948
x_0 error,0.0405,0.6250,1.2206,0.0723,0.2181
