,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.1073,41.5360,0.6386,0.3275,0.6479
r_e error,0.4599,11.1809,1.0497,0.3849,2.4224
n error,0.1532,2.3613,0.6796,0.0686,0.8394
x_0 error,0.0165,0.1951,0.2479,0.1128,0.2205
