,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0346,397.7033,0.4275,0.1753,0.4119
r_e error,0.7649,45.5668,6.3210,0.8995,62.8703
n error,0.0978,226.5694,4.1807,0.1064,24.3800
x_0 error,0.0352,0.1165,0.0763,0.0587,0.0439
