,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.2716,2.5956,0.5759,0.1734,1.9561
r_e error,0.5282,0.3645,1.1354,5.3707,0.3260
n error,0.0614,0.6648,0.1369,0.3495,0.2039
x_0 error,0.6192,0.3582,1.0448,0.2172,0.4851
