,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,1.1156,2.6313,0.7638,3.6877,0.6413
r_e,9.1323,1.3534,2.3272,7.1735,3.8816
n,1.8546,0.0805,1.0718,1.3262,1.7752
x_0,30.2768,38.8994,42.8441,58.9685,64.0153
